addr1,addr2,areacode,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode,lDongRegnCd,lDongSignguCd,lclsSystm1,lclsSystm2,lclsSystm3
강원특별자치도 평창군 봉평면 석이바우길 71-20,,32,B02,B0201,B02010700,138661,32,20050713090000,http://tong.visitkorea.or.kr/cms/resource/96/2929696_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/96/2929696_image3_1.jpg,Type3,128.3490214575,37.5758479263,6,20251107102243,15,033-334-5635,샬레리조트,25309,51,760,AC,AC03,AC030100
강원특별자치도 평창군 봉평면 흥정계곡길 72,,32,B02,B0201,B02010700,2376711,32,20160406222558,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/93/2376693_image2_1.JPG,Type3,128.3519002081,37.6272975840,6,20251107101826,15,010-5213-3200,가을동화펜션,25300,51,760,AC,AC03,AC030100
강원특별자치도 철원군 동송읍 담터길 174-1,,32,B02,B0201,B02010700,563186,32,20080523181859,http://tong.visitkorea.or.kr/cms/resource/85/2929585_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/2929585_image3_1.jpg,Type3,127.2044806739,38.1522372966,6,20251107101720,12,,마운틴밸리 펜션,24026,51,780,AC,AC03,AC030100
부산광역시 해운대구 해운대해변로197번길 12,,6,B02,B0201,B02010900,2754601,32,20211007224107,http://tong.visitkorea.or.kr/cms/resource/16/2754616_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/16/2754616_image3_1.jpg,Type3,129.1531418525,35.1592408683,6,20251105161958,16,,더펫텔프리미엄스위트,48093,26,350,AC,AC04,AC040100
강원특별자치도 강릉시 창해로 307,,32,B02,B0201,B02010100,2603352,32,20190525021824,http://tong.visitkorea.or.kr/cms/resource/54/2603354_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2603354_image3_1.jpg,Type3,128.9186301059,37.7940780970,6,20251105153709,1,033-660-9000,세인트존스 호텔,25467,51,150,AC,AC01,AC010100
충청북도 단양군 단양읍 삼봉로 187-17,,33,B02,B0201,B02010500,228935,32,20071012090000,http://tong.visitkorea.or.kr/cms/resource/07/2496507_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/07/2496507_image3_1.jpg,Type3,128.3626906905,36.9775838038,6,20251105152526,2,1588-4888,소노벨 단양,27012,43,800,AC,AC02,AC020100
전라남도 여수시 오동도로 61-15,,38,B02,B0201,B02011300,2823571,32,20220613180523,http://tong.visitkorea.or.kr/cms/resource/25/2823725_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2823725_image3_1.jpg,Type3,127.7506417828,34.7444510540,6,20251028150919,13,,여수 유탑 마리나 호텔&리조트,59744,46,130,AC,AC02,AC020200
강원특별자치도 인제군 기린면 상하답로 130,,32,B02,B0201,B02010500,2433873,32,20161011220831,http://tong.visitkorea.or.kr/cms/resource/15/2598215_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/15/2598215_image2_1.png,Type3,128.2950634635,38.0012086833,6,20251028143439,10,1644-3366,인제스피디움,24654,51,810,AC,AC02,AC020100
부산광역시 해운대구 해운대해변로298번길 25 (중동),,6,B02,B0201,B02011300,2705418,32,20210204182119,http://tong.visitkorea.or.kr/cms/resource/20/2705420_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2705420_image3_1.jpg,Type3,129.1665100882,35.1609381479,6,20251027172925,16,,해운대 영무파라드호텔,48099,26,350,AC,AC02,AC020200
강원특별자치도 홍천군 종자산길 122,,32,B02,B0201,B02010500,2491622,32,20170502195646,http://tong.visitkorea.or.kr/cms/resource/30/2812930_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/2812930_image2_1.jpg,Type3,127.6305759519,37.6504258226,6,20251027171147,16,010-4148-8713 / 02-1588-9983,힐리언스 선마을,25104,51,720,AC,AC02,AC020100
대구광역시 남구 앞산순환로93길 48,(대명동),4,B02,B0201,B02011100,2575180,32,20181208000720,http://tong.visitkorea.or.kr/cms/resource/79/2575079_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/79/2575079_image3_1.JPG,Type3,128.5753098848,35.8343097649,,20251023143000,1,010-9511-5673,유원게스트하우스,42490,27,200,AC,AC06,AC060200
서울특별시 강서구 공항대로53나길 6-9,(등촌동),1,B02,B0201,B02011100,2610960,32,20190712223935,,,,126.8595266354,37.5550895591,,20251023143000,4,010-7172-9715,회랑정,07570,11,500,AC,AC06,AC060200
경기도 가평군 북면 가화로 2389-16,,31,B02,B0201,B02010700,3532570,32,20250908095420,,,,127.4750645309,37.9540959640,6,20251023143000,1,010-2430-8928,레젤프펜션,12401,41,820,AC,AC03,AC030100
경기도 하남시 산곡남로 208 (상산곡동),,31,B02,B0201,B02010700,3532731,32,20250908140238,,,,127.2144601003,37.4883453550,6,20251023143000,30,010-7486-5700,루이하우스,13028,41,450,AC,AC03,AC030100
경기도 양평군 청운면 몰운고갯길 306-11,,31,B02,B0201,B02010700,3532732,32,20250908140525,,,,127.7574683527,37.5166242399,6,20251023143000,19,010-9497-8921,온유랑,12532,41,830,AC,AC03,AC030100
경기도 양평군 청운면 가현길 440-1,,31,B02,B0201,B02010700,3532734,32,20250908140812,,,,127.7298401806,37.5207260307,6,20251023143000,19,010-9360-7286,메리도그하우스,12530,41,830,AC,AC03,AC030100
경기도 용인시 수지구 고기로377번길 51-21 (고기동),,31,B02,B0201,B02011600,3532750,32,20250908141346,,,,127.0648580065,37.3555747238,6,20251023143000,23,010-5309-1506,해우당,16801,41,465,AC,AC03,AC030200
전북특별자치도 무주군 적상면 개안길 21,,37,B02,B0201,B02010700,3532762,32,20250908143318,,,,127.7120381900,35.9654597978,6,20251023143000,5,010-4484-3301,전망대펜션,55529,52,730,AC,AC03,AC030100
경상북도 예천군 용문면 금당실길 78-1,,35,B02,B0201,B02011600,3532773,32,20250908145300,,,,128.4096697675,36.6918174421,6,20251023143000,16,010-4441-8816,덕용재4.9,36835,47,900,AC,AC03,AC030200
강원특별자치도 양양군 현남면 동산큰길 11,,32,B02,B0201,B02011100,3533003,32,20250908175239,,,,128.7589721719,37.9769815672,6,20251023143000,7,010-9925-5536,글림풀빌라,25053,51,830,AC,AC06,AC060200
경기도 양평군 단월면 섬이길 329-11,,31,B02,B0201,B02010700,3533005,32,20250908175813,,,,127.5794784866,37.6274164384,6,20251023143000,19,010-6888-6562,슬로우인풀빌라,12525,41,830,AC,AC03,AC030100
전라남도 나주시 금천면 금영로 954-14,,38,B02,B0201,B02011600,3533113,32,20250908205420,,,,126.7551803905,35.0326989172,6,20251023143000,6,010-3876-2655,금천재,58215,46,170,AC,AC03,AC030200
경상북도 영덕군 강구면 영덕대게로 509-9,,35,B02,B0201,B02010700,3533121,32,20250908211513,,,,129.4081289119,36.3912400941,6,20251023143000,12,010-3623-1070,딜라이트107풀빌라,36453,47,770,AC,AC03,AC030100
전라남도 여수시 율촌면 두언길 27,,38,B02,B0201,B02010700,3533123,32,20250908212028,,,,127.5416882792,34.8371481635,6,20251023143000,13,010-4169-2211,두언27,59603,46,130,AC,AC03,AC030100
전북특별자치도 전주시 완산구 태진로 4-37 (태평동),,37,B02,B0201,B02011600,3533156,32,20250908225113,,,,127.1386540909,35.8216660685,6,20251023143000,12,010-8588-5437,라라몽몽,54997,52,111,AC,AC03,AC030200
전북특별자치도 전주시 완산구 관선1길 83-1 (남노송동),,37,B02,B0201,B02011600,3533157,32,20250908225352,,,,127.1583857378,35.8190167119,6,20251023143000,12,010-8588-5437,미미몽몽,55035,52,111,AC,AC03,AC030200
전라남도 순천시 대대2길 46-9 (대대동),,38,B02,B0201,B02010700,3533170,32,20250908233221,,,,127.5089980884,34.8920386612,6,20251023143000,11,010-5610-1749,행복한하루,58027,46,150,AC,AC03,AC030100
충청북도 괴산군 청천면 괴산로 197,,33,B02,B0201,B02010700,3544316,32,20250925143259,,,,127.8075338463,36.6224781783,6,20251023143000,1,010-3171-1719,사담관광농원캠핑,28064,43,760,AC,AC03,AC030100
강원특별자치도 양양군 현남면 동산큰길 80,층,32,B02,B0201,B02011100,3533009,32,20250908180927,,,,128.7572888566,37.9813199202,6,20250924154739,7,010-3087-8881,인스턴트호텔,25053,51,830,AC,AC06,AC060200
전라남도 순천시 하풍동길 60 (풍덕동),2층,38,B02,B0201,B02011100,3532875,32,20250908164314,,,,127.5036890021,34.9400304009,6,20250924145415,11,010-3485-5588,세하,57994,46,150,AC,AC06,AC060200
경상북도 경주시 첨성로49번길 24-4 (사정동),,35,B02,B0201,B02011100,3533166,32,20250908232145,,,,129.2081514824,35.8351964627,6,20250922210208,2,010-4847-0765,아담게스트하우스,38167,47,130,AC,AC06,AC060200
서울특별시 마포구 월드컵북로6길 84 (동교동),5층,1,B02,B0201,B02011100,3533146,32,20250908222432,,,,126.9226346304,37.5600345566,6,20250922185023,13,010-5652-4485,준하우스3,03993,11,440,AC,AC06,AC060200
강원특별자치도 양양군 손양면 선사유적로 240-29,,32,B02,B0201,B02010700,138900,32,20060830090000,http://tong.visitkorea.or.kr/cms/resource/31/2920131_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/31/2920131_image3_1.jpg,Type3,128.6864124691,38.0535323784,6,20250922154044,7,,보노펜션,25042,51,830,AC,AC03,AC030100
강원특별자치도 정선군 사북읍 지장천로 583,,32,B02,B0201,B02010900,2725982,32,20210715185819,http://tong.visitkorea.or.kr/cms/resource/83/2725983_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/83/2725983_image2_1.jpg,Type3,128.8123847368,37.2267414821,6,20250922102942,11,,그랜드 인투라온호텔 정선,26152,51,770,AC,AC04,AC040100
대전광역시 동구 계족로 194-1 (대동),,3,B02,B0201,B02011100,3533154,32,20250908224549,,,,127.4418384792,36.3308438742,6,20250921232321,2,010-7571-3655,빨간대문,34610,30,110,AC,AC06,AC060200
서울특별시 성동구 왕십리로8길 19-5 (성수동1가),202호,1,B02,B0201,B02011200,3532633,32,20250908105339,,,,127.0468348118,37.5463689287,6,20250921215137,16,010-8600-1683,리틀포레한강,04778,11,200,AC,AC03,AC030400
전북특별자치도 군산시 구영신창길 64 (신창동),,37,B02,B0201,B02011100,3532632,32,20250908105057,,,,126.7075243665,35.9870953455,6,20250921214946,2,010-9467-0261,등불의 집,54022,52,130,AC,AC06,AC060200
경상북도 안동시 금곡길 21-8,(금곡동),35,B02,B0201,B02011100,2569003,32,20181123004441,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2566872_image3_1.jpg,Type3,128.7215095058,36.5672736337,,20250919163857,11,010-3538-0785,게스트하우스 play at home(플레이앳홈),36690,47,170,AC,AC06,AC060200
대구광역시 중구 국채보상로 657-12 (동인동2가),,4,B02,B0201,B02010900,819941,32,20091014224207,http://tong.visitkorea.or.kr/cms/resource/10/3476610_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/10/3476610_image3_1.jpg,Type3,128.6031119965,35.8700840060,6,20250919094757,8,,히로텔,41914,27,110,AC,AC04,AC040100
강원특별자치도 강릉시 사천면 너다리길 87,,32,B02,B0201,B02010700,3540230,32,20250917171451,,,,128.8508794218,37.8339666020,6,20250917171514,1,,고심스테이,25435,51,150,AC,AC03,AC030100
강원특별자치도 강릉시 강동면 산성우리길 12-5,,32,B02,B0201,B02010700,3539443,32,20250917133557,,,,129.0243769535,37.6783268789,6,20250917133630,1,,산성펜션텔,25630,51,150,AC,AC03,AC030100
강원특별자치도 강릉시 창해로 27 (견소동),,32,B02,B0201,B02010700,3537760,32,20250916130920,,,,128.9445533809,37.7744003243,6,20250916130939,1,,안목을높이다,25556,51,150,AC,AC03,AC030100
강원특별자치도 강릉시 사천면 해안로 902,,32,B02,B0201,B02010700,3536898,32,20250915105014,,,,128.8769188198,37.8313896308,6,20250916092033,1,,페리아902,25440,51,150,AC,AC03,AC030100
강원특별자치도 강릉시 창해로370번길 3 (강문동),,32,B02,B0201,B02010700,3536383,32,20250912141913,,,,128.9169552033,37.7958000874,6,20250912141931,1,,"기억스테이(ㄱstay), 메모리스테이",25467,51,150,AC,AC03,AC030100
강원특별자치도 강릉시 사천면 해안로 725-2,,32,B02,B0201,B02010700,3534477,32,20250910134217,,,,128.8895513798,37.8195940205,6,20250910134240,1,,코스테,25459,51,150,AC,AC03,AC030100
전라남도 진도군 고군면 원포길 226,,38,B02,B0201,B02010700,3511367,32,20250722165142,,,,126.3770576294,34.4817629973,6,20250901150930,21,,골드마운틴하우스 (유한회사진도휴식),58907,46,900,AC,AC03,AC030100
충청북도 충주시 앙성면 산전장수1길 103,,33,B02,B0201,B02010500,136642,32,20031110090000,http://tong.visitkorea.or.kr/cms/resource/85/3525285_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/85/3525285_image3_1.jpg,Type3,127.7956963388,37.1018173176,6,20250822095929,11,,켄싱턴리조트 충주,27302,43,130,AC,AC02,AC020100
충청북도 청주시 청원구 오창읍 미래지로 71-54,,33,B02,B0201,B02011600,2707444,32,20210227005520,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/14/3067814_image3_1.jpg,Type1,127.4055417589,36.7351218825,,20250813155303,10,043-233-9966,가영당,28105,43,114,AC,AC03,AC030200
전라남도 보성군 복내면 개기로 1529-45,,38,B02,B0201,B02011600,2604493,32,20190531183959,http://tong.visitkorea.or.kr/cms/resource/43/2679743_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/43/2679743_image3_1.jpg,Type3,127.1183320154,34.9081246226,6,20250731180109,10,,(사)한국천연염색 숨(보성천연염색공예관 숨),59405,46,780,AC,AC03,AC030200
인천광역시 중구 은하수로 35 (중산동),로얄엠포리움호텔,2,B02,B0201,B02010100,3469415,32,20250123084525,,,,126.5782901754,37.4918752573,6,20250730103853,10,032-752-5996,로얄엠포리움호텔,22410,28,110,AC,AC01,AC010100
인천광역시 옹진군 백령면 백령로 461-18,461-14 1동,2,B02,B0201,B02010700,3469455,32,20250123093313,,,,124.6976727988,37.9734037010,6,20250730103217,9,032-836-0410,루시아펜션,23101,28,720,AC,AC03,AC030100
경상남도 고성군 개천면 청광6길 25-12,박진사고택,36,B02,B0201,B02011600,2595502,32,20190408185142,http://tong.visitkorea.or.kr/cms/resource/72/2918272_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2918272_image3_1.jpg,Type3,128.3079417017,35.1170246518,,20250729145357,3,010-2063-2541,박진사고택,52903,48,820,AC,AC03,AC030200
강원특별자치도 정선군 정선읍 봉양3길 22-8,,32,B02,B0201,B02011600,1972030,32,20141210023329,http://tong.visitkorea.or.kr/cms/resource/22/2629122_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/22/2629122_image3_1.jpg,Type3,128.6606826368,37.3794293286,,20250626102456,11,010-5377-1162,상유재,26131,51,770,AC,AC03,AC030200
세종특별자치시 장군면 태산길 75-3,,8,B02,B0201,B02011600,2668426,32,20200821224803,,,,127.1899356188,36.5510558482,,20250520210822,1,,학림재,30050,36110,36110,AC,AC03,AC030200
서울특별시 중구 퇴계로 67,,1,B02,B0201,B02010100,2586384,32,20190109184205,http://tong.visitkorea.or.kr/cms/resource/20/2821120_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/20/2821120_image3_1.jpg,Type3,126.9795572285,37.5597189467,6,20250514093340,24,02-317-4000,레스케이프 호텔(L’Escape Hotel),04529,11,140,AC,AC01,AC010100
강원특별자치도 홍천군 서면 한치골길 262,,32,B02,B0201,B02010500,2913675,32,20221107190211,,,,127.6779191584,37.6407750399,6,20250417141001,16,,소노펫클럽앤리조트,25102,51,720,AC,AC02,AC020100
강원특별자치도 평창군 봉평면 진조2길 281-4,,32,B02,B0201,B02010700,2801445,32,20211217225802,http://tong.visitkorea.or.kr/cms/resource/34/2801434_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2801434_image2_1.jpg,Type3,128.3165999753,37.5560773752,6,20250411135732,15,,대박이하우스,25308,51,760,AC,AC03,AC030100
서울특별시 서초구 강남대로 253 (서초동),,1,B02,B0201,B02010100,3465128,32,20250108173707,,,,127.0327822456,37.4859840219,6,20250411090950,15,,힐튼 가든 인 서울 강남,06735,11,650,AC,AC01,AC010100
전라남도 영암군 모정1길 37-11,,38,B02,B0201,B02011600,1883593,32,20140109221531,http://tong.visitkorea.or.kr/cms/resource/73/2574173_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/73/2574173_image3_1.jpg,Type3,126.6123770221,34.7777835946,6,20250328113056,17,061-471-7675,월인당,58433,46,830,AC,AC03,AC030200
인천광역시 미추홀구 토금북로18번길 11 (용현동),,2,B02,B0201,B02010900,3469452,32,20250123092917,,,,126.6362692579,37.4543445307,6,20250319175758,3,032-886-2393,럭셔리 G 모텔,22186,28,177,AC,AC04,AC040100
인천광역시 옹진군 영흥면 선재로 76-27,,2,B02,B0201,B02010700,3469451,32,20250123092528,,,,126.5309181873,37.2365290775,6,20250319175739,9,010-6350-5535,러블리펫108 애견펜션,23123,28,720,AC,AC03,AC030100
전라남도 해남군 북평면 동촌길 42-27,,38,B02,B0201,B02010700,3469414,32,20250123083416,,,,126.6408826574,34.4397470131,6,20250319175616,23,061-535-3133,땅끝남도의향기,59054,46,820,AC,AC03,AC030100
광주광역시 동구 구성로204번길 13 (대인동),,5,B02,B0201,B02011100,3469412,32,20250123082604,,,,126.9158187571,35.1528213947,6,20250319174340,3,0503-5052-1952,김냇과,61473,29,110,AC,AC06,AC060200
경상남도 거제시 사등면 성포로 319,,36,B02,B0201,B02010900,3469422,32,20250123085923,,,,128.5370991949,34.9180260651,6,20250319174318,1,0503-5050-5165,그레이70호텔,53276,48,310,AC,AC04,AC040100
경상남도 남해군 남해읍 화전로 60-3,,36,B02,B0201,B02010900,3049858,32,20231124201110,,,,127.8946990482,34.8367460007,6,20250317200039,5,"055-864-1002, 055-864-1003, 010-5567-1700",맨하탄호텔,52424,48,840,AC,AC04,AC040100
강원특별자치도 평창군 봉평면 흥정계곡길 410,,32,B02,B0201,B02010700,3044585,32,20231118132854,http://tong.visitkorea.or.kr/cms/resource/30/3054030_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/30/3054030_image3_1.jpg,Type1,128.3311210307,37.6438730481,6,20250317133321,15,010-5176-1613,바다내음펜션,25300,51,760,AC,AC03,AC030100
전라남도 순천시 강변로 669 순천게스트하우스느림,,38,B02,B0201,B02011100,2398942,32,20160811001356,http://tong.visitkorea.or.kr/cms/resource/77/2691877_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/77/2691877_image3_1.jpg,Type3,127.4956284317,34.9465934133,6,20250304162613,11,010-9229-8917,순천게스트하우스느림,57960,46,150,AC,AC06,AC060200
경상남도 창원시 성산구 용지로 102 개나리종합상가,,36,B02,B0201,B02010100,2811449,32,20220310150526,http://tong.visitkorea.or.kr/cms/resource/07/2808507_image2_1.png,http://tong.visitkorea.or.kr/cms/resource/07/2808507_image3_1.png,Type3,128.6783758898,35.2245192728,6,20250122141220,16,055-266-3600,AT비지니스호텔,51515,48,123,AC,AC01,AC010100
충청남도 태안군 몽대로 448,,34,B02,B0201,B02010700,2804347,32,20221230230442,http://tong.visitkorea.or.kr/cms/resource/41/2803441_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/41/2803441_image3_1.jpg,Type3,126.2741703813,36.6766143894,6,20250122110029,14,010-3223-1183,스테이 앤드 스튜디오 여여재,32152,44,825,AC,AC03,AC030100
전라남도 여수시 충무로 54-2,(충무동),38,B02,B0201,B02010100,2804371,32,20221231000758,http://tong.visitkorea.or.kr/cms/resource/29/2803529_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2803529_image3_1.jpg,Type3,127.7316657440,34.7413177426,6,20250122103842,13,061-924-5000,호텔케니여수,59732,46,130,AC,AC01,AC010100
경기도 가평군 묵안로 287,,31,B02,B0201,B02010700,2740726,32,20210907181213,http://tong.visitkorea.or.kr/cms/resource/92/2811492_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/92/2811492_image2_1.jpg,Type3,127.5077289331,37.6451630576,6,20250121161447,1,010-3937-5599,반디빌리지,12470,41,820,AC,AC03,AC030100
전라남도 여수시 돌산읍 강남로 11,,38,B02,B0201,B02010100,2708659,32,20210310000223,http://tong.visitkorea.or.kr/cms/resource/05/2709005_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/05/2709005_image3_1.jpg,Type3,127.7482982400,34.7170457484,,20250121110818,13,061-642-0000,라마다프라자 바이윈덤 여수,59769,46,130,AC,AC01,AC010100
전북특별자치도 부안군 동중3길 18,,37,B02,B0201,B02010900,2528107,32,20180103232108,http://tong.visitkorea.or.kr/cms/resource/98/2992998_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/98/2992998_image3_1.jpg,Type1,126.7351424447,35.7284141920,6,20250120172001,6,063-584-9935,샤니모텔,56308,52,800,AC,AC04,AC040100
인천광역시 강화군 내가면 강화서로225번길 18-1,,2,B02,B0201,B02011600,2468936,32,20161222180351,http://tong.visitkorea.or.kr/cms/resource/23/2451823_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/23/2451823_image2_1.jpg,Type3,126.3892095829,37.7161235947,,20250120144737,1,010-6216-5598,옛날에금잔디,23018,28,710,AC,AC03,AC030200
경상북도 청송군 주왕산로 494,,35,B02,B0201,B02011600,2048454,32,20151211003738,http://tong.visitkorea.or.kr/cms/resource/42/3070842_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/42/3070842_image3_1.jpg,Type1,129.1090834476,36.3783747152,6,20250117172645,21,054-874-9098,한 바이 소노,37437,47,750,AC,AC03,AC030200
경상북도 경주시 내남면 포석로 435-9,,35,B02,B0201,B02011600,2603913,32,20190530002513,,,,129.2041228345,35.7805108903,6,20250117141040,2,010-4624-6880,후연지한옥펜션,38197,47,130,AC,AC03,AC030200
강원특별자치도 춘천시 남이섬길 1 남이섬,,32,B02,B0201,B02010500,2557959,32,20180817194556,http://tong.visitkorea.or.kr/cms/resource/34/2815934_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/34/2815934_image3_1.jpg,Type3,127.5255090138,37.7963208193,6,20250116171850,13,031-580-8004,호텔정관루별관(콘도별장),24464,51,110,AC,AC02,AC020100
전라남도 순천시 순천만길 560,(대대동),38,B02,B0201,B02011100,2697690,32,20201214200603,,,,127.5094647400,34.8910221168,,20241224175902,11,,무진,58027,46,150,AC,AC06,AC060200
전북특별자치도 완주군 이서면 신지앵곡길 237-10,,37,B02,B0201,B02011100,2697881,32,20201214233053,,,,127.0316529740,35.8036857071,,20241224172430,8,,콩쥐팥쥐 관광 한옥리조트,55368,52,710,AC,AC06,AC060200
경상북도 안동시 서후면 풍산태사로 3193-6,(서후면),35,B02,B0201,B02011600,1883135,32,20140108233649,http://tong.visitkorea.or.kr/cms/resource/94/2993094_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/94/2993094_image3_1.jpg,Type1,128.6784947054,36.6347484530,,20241220094626,11,010-3522-1542,안동고택 이상루,36616,47,170,AC,AC03,AC030200
경상북도 안동시 임하면 기르마제길 18-15,,35,B02,B0201,B02011600,2706485,32,20210219002355,http://tong.visitkorea.or.kr/cms/resource/29/2706129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2706129_image3_1.jpg,Type3,128.8668396641,36.5195151591,,20241219183520,11,054-822-2704,오류헌,36731,47,170,AC,AC03,AC030200
경상남도 고성군 하일면 학동돌담길 55,(하일면),36,B02,B0201,B02011600,1990092,32,20150227225142,http://tong.visitkorea.or.kr/cms/resource/12/2574712_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/12/2574712_image3_1.jpg,Type3,128.1936699642,34.9505829528,6,20241219135118,3,010-3824-4274,고성 최필간고택,52956,48,820,AC,AC03,AC030200
